row_key,business_need,prd_reference,srs_requirement,requirement_type,requirement_text,evidence_status,implementation_status,roadmap_day,target_artifact,verification_method,acceptance_evidence,safety_critical,open_questions
FR-050,PRD-NEED-01,PRD-NEED-01,FR-050,FUNCTIONAL,"Preprocessing phải được cấu hình theo protocol/profile, không hard-code một pipeline cho mọi bệnh nhân/task.",VERIFIED_DOCUMENTED,IDENTIFIED,DAY_40;DAY_51;DAY_84;DAY_90,"{'title': 'Protocol-Specific Preprocessing Profile Contract', 'outputs': ['configs/preprocessing/processing-profile.schema.yaml', 'configs/preprocessing/motionlab-semG-v0.1.yaml', 'packages/common-schemas/json/preprocessing-profile.schema.json']};{'title': 'Processing + Metric Engine Freeze — M3', 'outputs': ['qa-validation/validation-reports/processing-metric-engine-v1.0.md', 'configs/preprocessing/motionlab-semG-v0.1.freeze.yaml', 'docs/00-executive/milestones/M3-processing-metrics-ready.md']};{'title': 'Processing & Metric Analytical + Real-Data Validation', 'outputs': ['qa-validation/validation-reports/retrospective-processing-metrics-v1.0.md', 'scripts/validate_metrics_retrospective.py', 'ai-core/metrics/metric_eligibility_metrics.v1.0.json']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",DSP_REGRESSION_TEST;CONFIG_SNAPSHOT_TEST;ELIGIBILITY_TEST,Versioned test/evidence artifact produced on planned day,true,
FR-051,PRD-NEED-01,PRD-NEED-01,FR-051,FUNCTIONAL,"Mỗi processing step phải lưu method, parameters, version và input/output reference.",VERIFIED_DOCUMENTED,IDENTIFIED,DAY_41;DAY_42;DAY_45;DAY_90,"{'title': 'Band-Pass Filter Implementation & Analytical Verification', 'outputs': ['packages/semg-core/src/filters/bandpass.py', 'qa-validation/automated-tests/dsp/test_bandpass.py', 'qa-validation/validation-reports/bandpass-analytical-v0.1.md']};{'title': 'Notch Filter: Configurable & Evidence-Preserving', 'outputs': ['packages/semg-core/src/filters/notch.py', 'qa-validation/automated-tests/dsp/test_notch.py', 'qa-validation/validation-reports/notch-analytical-v0.1.md']};{'title': 'Raw-to-Processed Provenance Chain & Processing Manifest', 'outputs': ['services/preprocessing-service/src/provenance/processing_manifest.py', 'packages/common-schemas/json/processing-manifest.schema.json', 'qa-validation/automated-tests/dsp/test_processing_lineage.py']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",DSP_REGRESSION_TEST;CONFIG_SNAPSHOT_TEST;ELIGIBILITY_TEST,Versioned test/evidence artifact produced on planned day,false,
FR-052,PRD-NEED-01,PRD-NEED-01,FR-052,FUNCTIONAL,Các bước như band-pass/notch/rectification/smoothing phải bật/tắt theo config đã phê duyệt.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_43;DAY_90,"{'title': 'Rectification, Smoothing & Window Masking', 'outputs': ['packages/semg-core/src/transforms/rectify.py', 'packages/semg-core/src/transforms/smooth.py', 'packages/semg-core/src/masking.py', 'qa-validation/automated-tests/dsp/test_transforms_and_masking.py']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",DSP_REGRESSION_TEST;CONFIG_SNAPSHOT_TEST;ELIGIBILITY_TEST,Versioned test/evidence artifact produced on planned day,false,
FR-053,PRD-NEED-01,PRD-NEED-01,FR-053,FUNCTIONAL,Không được overwrite raw signal.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_90,"{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",DSP_REGRESSION_TEST;CONFIG_SNAPSHOT_TEST;ELIGIBILITY_TEST,Versioned test/evidence artifact produced on planned day,true,
FR-054,PRD-NEED-01,PRD-NEED-01,FR-054,FUNCTIONAL,Hệ thống phải hỗ trợ mask/reject window thay vì xóa dữ liệu khỏi raw.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_22;DAY_90,"{'title': 'QC Windowing & Session/Channel Aggregation Architecture', 'outputs': ['packages/semg-core/src/windowing.py', 'services/quality-gate-service/src/aggregation/qc_aggregation.py', 'configs/qc/windowing.v0.1.yaml']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",DSP_REGRESSION_TEST;CONFIG_SNAPSHOT_TEST;ELIGIBILITY_TEST,Versioned test/evidence artifact produced on planned day,true,
FR-055,PRD-NEED-01,PRD-NEED-01,FR-055,FUNCTIONAL,Normalization (ví dụ MVC hoặc reference khác) chỉ được áp dụng khi eligibility conditions được thỏa mãn.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_44;DAY_90,"{'title': 'Normalization Eligibility & Null-with-Reason Contract', 'outputs': ['services/preprocessing-service/src/eligibility/normalization.py', 'configs/preprocessing/normalization-policy.v0.1.yaml', 'qa-validation/automated-tests/dsp/test_normalization_eligibility.py']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",DSP_REGRESSION_TEST;CONFIG_SNAPSHOT_TEST;ELIGIBILITY_TEST,Versioned test/evidence artifact produced on planned day,true,
FR-056,PRD-NEED-01,PRD-NEED-01,FR-056,FUNCTIONAL,"Nếu normalization reference không hợp lệ/không có, metric phụ thuộc normalization phải trả null + reason.",VERIFIED_DOCUMENTED,IDENTIFIED,DAY_90,"{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",DSP_REGRESSION_TEST;CONFIG_SNAPSHOT_TEST;ELIGIBILITY_TEST,Versioned test/evidence artifact produced on planned day,true,
FR-057,PRD-NEED-01,PRD-NEED-01,FR-057,FUNCTIONAL,Hệ thống phải cho phép bác sĩ xem raw và processed signal cạnh nhau.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_55;DAY_57;DAY_90,"{'title': 'QC / Raw / Processed / Provenance Read API', 'outputs': ['services/api-server/src/sessions/session_evidence_api.py', 'services/api-server/openapi/session-evidence.v1.yaml', 'qa-validation/automated-tests/api/test_session_evidence_api.py']};{'title': 'Channel/Window Drill-Down & Raw-vs-Processed Viewer', 'outputs': ['apps/web-portal/src/components/charts/RawProcessedSignalViewer.tsx', 'apps/web-portal/src/components/clinical/QCWindowTimeline.tsx', 'apps/web-portal/src/tests/unit/raw-processed-viewer.test.tsx']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",DSP_REGRESSION_TEST;CONFIG_SNAPSHOT_TEST;ELIGIBILITY_TEST,Versioned test/evidence artifact produced on planned day,false,
FR-060,PRD-NS-01,PRD-NS-01,FR-060,FUNCTIONAL,Metric extraction chỉ chạy trên windows/channels đủ quality/eligibility.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_46;DAY_47;DAY_58;DAY_90,"{'title': 'Metric Registry v0.1: RMS & MAV', 'outputs': ['services/feature-extraction-service/src/metrics/rms.py', 'services/feature-extraction-service/src/metrics/mav.py', 'services/feature-extraction-service/src/registry.py', 'qa-validation/automated-tests/metrics/test_time_domain_metrics.py']};{'title': 'PSD Foundation & MDF/MNF Metric Validation', 'outputs': ['packages/semg-core/src/spectral/psd.py', 'services/feature-extraction-service/src/metrics/mdf_mnf.py', 'qa-validation/automated-tests/metrics/test_spectral_metrics.py']};{'title': 'Metric Eligibility / Confidence / Reason Viewer', 'outputs': ['apps/web-portal/src/components/clinical/MetricEvidenceCard.tsx', 'apps/web-portal/src/tests/unit/metric-evidence-card.test.tsx']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",METRIC_ANALYTICAL_TEST;ELIGIBILITY_TEST;PROVENANCE_TEST,Versioned test/evidence artifact produced on planned day,true,
FR-061,PRD-NS-01,PRD-NS-01,FR-061,FUNCTIONAL,Hệ thống phải hỗ trợ registry metric versioned; ví dụ RMS/MAV/MDF/MNF/activation timing khi protocol support.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_48;DAY_90,"{'title': 'Activation-Timing Eligibility — Conditional Capability', 'outputs': ['services/feature-extraction-service/src/metrics/activation_timing.py', 'configs/metrics/activation-timing-policy.v0.1.yaml', 'qa-validation/automated-tests/metrics/test_activation_timing.py']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",METRIC_ANALYTICAL_TEST;ELIGIBILITY_TEST;PROVENANCE_TEST,Versioned test/evidence artifact produced on planned day,false,
FR-062,PRD-NS-01,PRD-NS-01,FR-062,FUNCTIONAL,"Mỗi metric phải lưu source windows, channel, preprocessing version, units và eligibility result.",VERIFIED_DOCUMENTED,IDENTIFIED,DAY_50;DAY_90,"{'title': 'Session Evidence Bundle: QC + Processing + Metrics + Limitations', 'outputs': ['packages/common-schemas/json/session-evidence.schema.json', 'services/feature-extraction-service/src/application/build_evidence_bundle.py', 'qa-validation/automated-tests/metrics/test_evidence_bundle.py']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",METRIC_ANALYTICAL_TEST;ELIGIBILITY_TEST;PROVENANCE_TEST,Versioned test/evidence artifact produced on planned day,false,
FR-063,PRD-NS-01,PRD-NS-01,FR-063,FUNCTIONAL,Không được trả giá trị 0 để thay thế cho “không tính được”; phải trả null + reason code.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_90,"{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",METRIC_ANALYTICAL_TEST;ELIGIBILITY_TEST;PROVENANCE_TEST,Versioned test/evidence artifact produced on planned day,true,
FR-064,PRD-NS-01,PRD-NS-01,FR-064,FUNCTIONAL,MFCV phải là optional capability và chỉ enable khi electrode geometry/IED/alignment/site config đạt eligibility đã được xác minh.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_49;DAY_90,"{'title': 'MFCV Site Eligibility Audit — Optional Capability Only', 'outputs': ['clinical/protocols/mfcv-site-eligibility-checklist.v1.0.md', 'services/feature-extraction-service/src/eligibility/mfcv.py', 'docs/06-ai-signal-processing/mfcv-site-decision.md']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",METRIC_ANALYTICAL_TEST;ELIGIBILITY_TEST;PROVENANCE_TEST,Versioned test/evidence artifact produced on planned day,true,OQ-016
FR-065,PRD-NS-01,PRD-NS-01,FR-065,FUNCTIONAL,"Fatigue-related metrics nếu có phải được trình bày như evidence/context, không mặc định là chẩn đoán fatigue.",VERIFIED_DOCUMENTED,IDENTIFIED,DAY_61;DAY_90,"{'title': 'Draft Technical Analysis & Finalization Safety Gate', 'outputs': ['services/report-generation-service/src/draft_analysis.py', 'clinical/reporting/draft-analysis-language-policy.v1.0.md', 'qa-validation/automated-tests/reporting/test_finalization_gate.py']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",METRIC_ANALYTICAL_TEST;ELIGIBILITY_TEST;PROVENANCE_TEST,Versioned test/evidence artifact produced on planned day,true,
FR-066,PRD-NS-01,PRD-NS-01,FR-066,FUNCTIONAL,Hệ thống phải hỗ trợ evidence bundle cho từng session: QC + processing + metrics + uncertainty + limitations.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_90,"{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",METRIC_ANALYTICAL_TEST;ELIGIBILITY_TEST;PROVENANCE_TEST,Versioned test/evidence artifact produced on planned day,true,
FR-070,PRD-NEED-04,PRD-NEED-04,FR-070,FUNCTIONAL,Bác sĩ phải xem được trạng thái QC tổng thể và drill-down tới channel/window.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_56;DAY_62;DAY_63;DAY_85;DAY_88;DAY_90,"{'title': 'Exception-First QC Dashboard', 'outputs': ['apps/web-portal/src/app/sessions/[id]/quality/page.tsx', 'apps/web-portal/src/components/clinical/QualitySummary.tsx', 'apps/web-portal/src/tests/unit/quality-summary.test.tsx']};{'title': 'Workflow RBAC, Audit & Failure-State Test Pack', 'outputs': ['qa-validation/scenario-tests/doctor-workflow-safety.v1.0.yaml', 'qa-validation/automated-tests/security/test_review_rbac.py', 'qa-validation/validation-reports/workflow-safety-v0.1.md']};{'title': 'Doctor Usability Walkthrough & GATE D', 'outputs': ['clinical/usability/doctor-walkthrough-v0.1.md', 'clinical/usability/doctor-feedback-round1.csv', 'docs/00-executive/gates/GATE-D-offline-copilot-readiness.md']};{'title': 'Workflow Safety, RBAC, Audit & Fail-Closed Validation', 'outputs': ['qa-validation/validation-reports/workflow-safety-validation-v1.0.md', 'qa-validation/scenario-tests/pilot-safety-matrix.v1.0.yaml', 'scripts/run_safety_validation.py']};{'title': 'Human-Factors Remediation, SOP & Training Package', 'outputs': ['ops/pilot/motionlab-operator-sop.v1.0.md', 'clinical/training/doctor-review-training.v1.0.md', 'clinical/training/pilot-scenarios.v1.0.yaml', 'docs/00-executive/day88-remediation-log.md']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",CLINICAL_WORKFLOW_SCENARIO_TEST;AUDIT_TRAIL_TEST,Versioned test/evidence artifact produced on planned day,false,
FR-071,PRD-NEED-04,PRD-NEED-04,FR-071,FUNCTIONAL,Bác sĩ phải xem raw/processed overlay hoặc side-by-side.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_90,"{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",CLINICAL_WORKFLOW_SCENARIO_TEST;AUDIT_TRAIL_TEST,Versioned test/evidence artifact produced on planned day,false,
FR-072,PRD-NEED-04,PRD-NEED-04,FR-072,FUNCTIONAL,Bác sĩ phải xem metric kèm eligibility/confidence/reason.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_58;DAY_90,"{'title': 'Metric Eligibility / Confidence / Reason Viewer', 'outputs': ['apps/web-portal/src/components/clinical/MetricEvidenceCard.tsx', 'apps/web-portal/src/tests/unit/metric-evidence-card.test.tsx']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",CLINICAL_WORKFLOW_SCENARIO_TEST;AUDIT_TRAIL_TEST,Versioned test/evidence artifact produced on planned day,false,
FR-073,PRD-NEED-04,PRD-NEED-04,FR-073,FUNCTIONAL,"Bác sĩ phải có action Accept, Override, Mark for Reprocess, Request Re-measurement, Inconclusive.",VERIFIED_DOCUMENTED,IDENTIFIED,DAY_54;DAY_59;DAY_90,"{'title': 'Doctor Review Action API: Accept / Override / Reprocess / Re-measure / Inconclusive', 'outputs': ['services/api-server/src/review/review_actions.py', 'packages/common-schemas/json/review.schema.json', 'qa-validation/automated-tests/workflow/test_review_actions.py']};{'title': 'Review Queue & Clinician Action Workflow UI', 'outputs': ['apps/web-portal/src/components/clinical/ReviewActions.tsx', 'apps/web-portal/src/app/sessions/[id]/review/page.tsx', 'apps/web-portal/src/tests/e2e/review-actions.spec.ts']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",CLINICAL_WORKFLOW_SCENARIO_TEST;AUDIT_TRAIL_TEST,Versioned test/evidence artifact produced on planned day,true,
FR-074,PRD-NEED-04,PRD-NEED-04,FR-074,FUNCTIONAL,Override phải yêu cầu reason code; optional free-text note.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_53;DAY_68;DAY_90,"{'title': 'Immutable Audit Event Schema & Append-Only Store', 'outputs': ['packages/common-schemas/json/audit-event.schema.json', 'services/api-server/src/audit/audit_store.py', 'qa-validation/automated-tests/workflow/test_audit_store.py']};{'title': 'Pressure Confidence, Abstention, Review & Override', 'outputs': ['services/quality-gate-service/src/pressure/lr_decision.py', 'apps/web-portal/src/components/clinical/PressureAssignmentReview.tsx', 'qa-validation/automated-tests/pressure/test_pressure_review_flow.py']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",CLINICAL_WORKFLOW_SCENARIO_TEST;AUDIT_TRAIL_TEST,Versioned test/evidence artifact produced on planned day,true,
FR-075,PRD-NEED-04,PRD-NEED-04,FR-075,FUNCTIONAL,"Hệ thống phải ghi audit log: user, timestamp, before/after, reason, model/config version.",VERIFIED_DOCUMENTED,IDENTIFIED,DAY_90,"{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",CLINICAL_WORKFLOW_SCENARIO_TEST;AUDIT_TRAIL_TEST,Versioned test/evidence artifact produced on planned day,true,
FR-076,PRD-NEED-04,PRD-NEED-04,FR-076,FUNCTIONAL,Draft analysis không được chuyển trạng thái Final nếu chưa có clinician approval.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_90,"{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",CLINICAL_WORKFLOW_SCENARIO_TEST;AUDIT_TRAIL_TEST,Versioned test/evidence artifact produced on planned day,true,
FR-077,PRD-NEED-04,PRD-NEED-04,FR-077,FUNCTIONAL,Hệ thống phải phân biệt “no abnormal finding / no evidence” với “insufficient data”.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_90,"{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",CLINICAL_WORKFLOW_SCENARIO_TEST;AUDIT_TRAIL_TEST,Versioned test/evidence artifact produced on planned day,true,
FR-080,PRD-NEED-05,PRD-NEED-05,FR-080,FUNCTIONAL,Hệ thống phải ingest pressure/contact/COP signals từ Noraxon export nếu available.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_64;DAY_65;DAY_72;DAY_90,"{'title': 'Pressure Field Semantics Verification: LT/RT Force, COP, Contact', 'outputs': ['clinical/pressure/pressure-field-semantics.v0.1.md', 'data-platform/contracts/noraxon/pressure-field-dictionary.v0.1.yaml', 'clinical/pressure/open-semantics-evidence-log.md']};{'title': 'Pressure Canonical Contract & Ingestion', 'outputs': ['packages/common-schemas/json/pressure-signal.schema.json', 'services/signal-ingestion-service/src/normalization/pressure_mapper.py', 'qa-validation/automated-tests/pressure/test_pressure_ingestion.py']};{'title': 'Plantar Pressure Formal Decision — GATE E / M6', 'outputs': ['docs/00-executive/gates/GATE-E-pressure-p1.md', 'docs/00-executive/milestones/M6-pressure-decision.md', 'clinical/pressure/pressure-p1-limitations.md']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",PRESSURE_REFERENCE_TEST;ABNORMAL_GAIT_EVALUATION;OVERRIDE_WORKFLOW_TEST,Versioned test/evidence artifact produced on planned day,false,OQ-008
FR-081,PRD-NEED-05,PRD-NEED-05,FR-081,FUNCTIONAL,Module phải phân loại/assign contact theo left/right với confidence.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_66;DAY_67;DAY_68;DAY_70;DAY_71;DAY_90,"{'title': 'Pressure Failure Taxonomy, Current Workaround & Label Strategy', 'outputs': ['clinical/pressure/lr-failure-taxonomy.v0.1.yaml', 'clinical/pressure/annotation-protocol.v0.1.md', 'clinical/pressure/current-workaround-map.md']};{'title': 'Deterministic Left/Right Assignment Baseline', 'outputs': ['services/quality-gate-service/src/pressure/lr_rules.py', 'configs/pressure/lr-rules-v0.1.yaml', 'qa-validation/automated-tests/pressure/test_lr_rules.py']};{'title': 'Pressure Confidence, Abstention, Review & Override', 'outputs': ['services/quality-gate-service/src/pressure/lr_decision.py', 'apps/web-portal/src/components/clinical/PressureAssignmentReview.tsx', 'qa-validation/automated-tests/pressure/test_pressure_review_flow.py']};{'title': 'Pressure Rule Evaluation & Error Analysis', 'outputs': ['qa-validation/validation-reports/pressure-rule-evaluation-v0.1.md', 'scripts/evaluate_pressure_lr.py', 'ai-core/metrics/pressure_lr_metrics.v0.1.json']};{'title': 'Classical-ML Feasibility Gate — Only If Rules Are Insufficient', 'outputs': ['ai-core/configs/pressure_ml_feasibility.yaml', 'docs/06-ai-signal-processing/pressure-ml-go-no-go.md', 'qa-validation/validation-reports/pressure-data-readiness.md']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",PRESSURE_REFERENCE_TEST;ABNORMAL_GAIT_EVALUATION;OVERRIDE_WORKFLOW_TEST,Versioned test/evidence artifact produced on planned day,false,OQ-008
FR-082,PRD-NEED-05,PRD-NEED-05,FR-082,FUNCTIONAL,Low-confidence assignment phải abstain và vào review queue.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_90,"{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",PRESSURE_REFERENCE_TEST;ABNORMAL_GAIT_EVALUATION;OVERRIDE_WORKFLOW_TEST,Versioned test/evidence artifact produced on planned day,true,OQ-008
FR-083,PRD-NEED-05,PRD-NEED-05,FR-083,FUNCTIONAL,Bác sĩ phải có thể sửa assignment và lưu override.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_90,"{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",PRESSURE_REFERENCE_TEST;ABNORMAL_GAIT_EVALUATION;OVERRIDE_WORKFLOW_TEST,Versioned test/evidence artifact produced on planned day,true,OQ-008
FR-084,PRD-NEED-05,PRD-NEED-05,FR-084,FUNCTIONAL,Evaluation phải tách pathological/abnormal gait cases khỏi healthy/easy cases.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_69;DAY_90,"{'title': 'Abnormal / Pathological Gait Evaluation Set', 'outputs': ['clinical/pressure/pressure-evaluation-cohort.v0.1.yaml', 'qa-validation/test-data/golden/pressure/evaluation-manifest.yaml', 'clinical/pressure/pressure-reference-evidence.md']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",PRESSURE_REFERENCE_TEST;ABNORMAL_GAIT_EVALUATION;OVERRIDE_WORKFLOW_TEST,Versioned test/evidence artifact produced on planned day,true,OQ-008
FR-085,PRD-NEED-05,PRD-NEED-05,FR-085,FUNCTIONAL,Module không được claim chẩn đoán fall risk/diabetic foot trong scope này.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_90,"{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",PRESSURE_REFERENCE_TEST;ABNORMAL_GAIT_EVALUATION;OVERRIDE_WORKFLOW_TEST,Versioned test/evidence artifact produced on planned day,true,
DR-K01,PRD-NEED-06,PRD-NEED-06,DR-K01,DISCOVERY,"Thu một failure case thực tế gồm raw recording, movement/task, Vicon/video context, graph/output hiện tại và đoạn bác sĩ đánh giá sai.",DISCOVERY_REQUIRED,IDENTIFIED,DAY_73,"{'title': 'DR-K01 — Capture One Real Knee/ACL Failure Case', 'outputs': ['clinical/knee-discovery/DR-K01-failure-case-manifest.yaml', 'clinical/knee-discovery/DR-K01-evidence-notes.md']}",CLINICAL_DISCOVERY_EVIDENCE_REVIEW,Versioned test/evidence artifact produced on planned day,true,OQ-009
DR-K02,PRD-NEED-06,PRD-NEED-06,DR-K02,DISCOVERY,Ghi tên chính xác của góc/DOF/biomechanical variable trong phần mềm.,DISCOVERY_REQUIRED,IDENTIFIED,DAY_74,"{'title': 'DR-K02 + DR-K03 — Exact Variable & Failure Semantics', 'outputs': ['clinical/knee-discovery/DR-K02-variable-dictionary.yaml', 'clinical/knee-discovery/DR-K03-failure-semantics.md']}",CLINICAL_DISCOVERY_EVIDENCE_REVIEW,Versioned test/evidence artifact produced on planned day,true,OQ-010
